id,CH,CH_traditional,Pinyin,POS,EN,CH_Sentence,EN_Sentence,media
2886,完工,完工,wángōng,verb,"finish work, complete a project",这座大楼预计下个月<b>完工</b>。,This building is expected to be <b>completed</b> next month.,
2887,里,里,lǐ,measure,"li, Chinese unit of distance",我家离学校只有五<b>里</b>地。,My house is only five <b>li</b> away from the school.,
2888,杨,楊,yáng,noun,"poplar tree, Yang (surname)",路边种着许多高大的<b>杨</b>树。,There are many tall <b>poplar</b> trees planted by the roadside.,
2889,内政部,內政部,nèizhèngbù,noun,"Ministry of Internal Affairs, Department of the Interior",他在<b>内政部</b>工作。,He works at the <b>Ministry of Internal Affairs</b>.,
2890,躲,躲,duǒ,verb,"hide, avoid, dodge",小猫<b>躲</b>在沙发后面。,The kitten is <b>hiding</b> behind the sofa.,
2891,美术馆,美術館,měishùguǎn,noun,"art gallery, art museum",我们周末打算去参观<b>美术馆</b>。,We plan to visit the <b>art gallery</b> this weekend.,
2892,领先,領先,lǐngxiān,verb,"lead, be in the lead",在比赛中，我们的球队一直处于<b>领先</b>地位。,Our team has been in the <b>lead</b> throughout the match.,
2893,不当,不當,bùdàng,adj,"inappropriate, improper",处理<b>不当</b>可能会导致严重的后果。,<b>Inappropriate</b> handling can lead to serious consequences.,
2894,用地,用地,yòngdì,noun,"land for use, site",这块<b>用地</b>将被开发成公园。,This <b>land</b> will be developed into a park.,
2895,认知,認知,rènzhī,noun,"cognition, perception, awareness",这种疾病会影响病人的<b>认知</b>能力。,This disease will affect the patient's <b>cognitive</b> abilities.,
2896,基层,基層,jīcéng,noun,"grassroots, primary level",政策需要得到<b>基层</b>群众的支持。,The policy needs support from the <b>grassroots</b>.,
2897,做出,做出,zuòchū,verb,"make, produce, issue",他终于<b>做出</b>了决定。,He finally <b>made</b> a decision.,
2898,政权,政權,zhèngquán,noun,"regime, political power, state power",新<b>政权</b>面临着巨大的挑战。,The new <b>regime</b> faces enormous challenges.,
2899,什么,甚麼,shénme,pron,what,你在看<b>什么</b>？,What are you <b>looking at</b>?,
2900,风景区,風景區,fēngjǐngqū,noun,"scenic area, tourist spot",这个<b>风景区</b>吸引了很多游客。,This <b>scenic area</b> attracts many tourists.,
2901,季节,季節,jìjié,noun,season,我最喜欢的<b>季节</b>是秋天。,My favorite <b>season</b> is autumn.,
2902,享有,享有,xiǎngyǒu,verb,"enjoy, have (rights, etc.)",公民<b>享有</b>言论自由。,Citizens <b>enjoy</b> freedom of speech.,
2903,对不起,對不起,duìbuqǐ,verb,"I'm sorry, excuse me",<b>对不起</b>，我来晚了。,"<b>I'm sorry</b>, I'm late.",
2904,建设,建設,jiànshè,verb,"build, construct",政府正在<b>建设</b>新的铁路。,The government is <b>building</b> a new railway.,
2905,出口,出口,chūkǒu,verb,"export, exit",我们公司向欧洲<b>出口</b>茶叶。,Our company <b>exports</b> tea to Europe.,
2906,引导,引導,yǐndǎo,verb,"guide, lead",老师<b>引导</b>学生们思考。,The teacher <b>guides</b> the students to think.,
2907,实行,實行,shíxíng,verb,"implement, carry out",学校决定<b>实行</b>新的规定。,The school decided to <b>implement</b> new regulations.,
2908,错误,錯誤,cuòwù,noun,"error, mistake",这是一个非常严重的<b>错误</b>。,This is a very serious <b>error</b>.,
2909,国内外,國內外,guónèiwài,noun,"home and abroad, domestic and international",这部电影在<b>国内外</b>都很受欢迎。,This movie is popular both at <b>home and abroad</b>.,
2910,迄,迄,qì,prep,"until, up to",<b>迄</b>今为止，他还没回来。,"<b>Until</b> now, he has not yet returned.",
2911,神话,神話,shénhuà,noun,"myth, fairy tale",他喜欢阅读希腊<b>神话</b>。,He likes reading Greek <b>myths</b>.,
2912,尽,盡,jìn,verb,"exhaust, try one's best",我会<b>尽</b>最大的努力完成任务。,I will <b>try</b> my <b>best</b> to finish the task.,
2913,花园,花園,huāyuán,noun,garden,我家后院有一个<b>花园</b>。,There is a <b>garden</b> in my backyard.,
2914,非洲,非洲,Fēizhōu,noun,Africa,许多野生动物生活在<b>非洲</b>。,Many wild animals live in <b>Africa</b>.,
2915,组织,組織,zǔzhī,verb,"organize, form",我们正在<b>组织</b>一场比赛。,We are <b>organizing</b> a competition.,
2916,音乐会,音樂會,yīnyuèhuì,noun,concert,周末我们要去听<b>音乐会</b>。,We are going to a <b>concert</b> this weekend.,
2917,继,繼,jì,prep,"following, after",<b>继</b>他之后，又有人提出了异议。,"<b>Following</b> him, others raised objections.",
2918,预估,預估,yùgū,verb,"estimate, predict",专家<b>预估</b>明年的经济会好转。,Experts <b>estimate</b> that the economy will improve next year.,
2919,著作,著作,zhùzuò,noun,"work, book, writings",这是一部伟大的文学<b>著作</b>。,This is a great literary <b>work</b>.,
2920,感受到,感受到,gǎnshòudào,verb,"feel, sense, experience",我能<b>感受到</b>你的诚意。,I can <b>feel</b> your sincerity.,
2921,保障,保障,bǎozhàng,verb,"guarantee, safeguard, ensure",法律<b>保障</b>公民的权利。,The law <b>safeguards</b> the rights of citizens.,
2922,自主,自主,zìzhǔ,adj,"independent, autonomous",这里的学生有权<b>自主</b>选择课程。,Students here have the right to <b>independently</b> choose their courses.,
2923,好多,好多,hǎoduō,adj,"many, a lot of",操场上有<b>好多</b>学生。,There are <b>a lot of</b> students on the playground.,
2924,姑娘,姑娘,gūniang,noun,"girl, young woman",那个<b>姑娘</b>长得非常漂亮。,That <b>girl</b> is very beautiful.,
2925,财团,財團,cáituán,noun,"financial group, consortium",这家大型<b>财团</b>投资了该项目。,This large <b>financial group</b> invested in the project.,
2926,预期,預期,yùqí,verb,"expect, anticipate",结果超出了我们的<b>预期</b>。,The result exceeded our <b>expectations</b>.,
2927,安定,安定,āndìng,adj,"stable, settled, quiet",现在的社会生活非常<b>安定</b>。,Social life today is very <b>stable</b>.,
2928,上升,上升,shàngshēng,verb,"rise, ascend, go up",气温正在逐渐<b>上升</b>。,The temperature is gradually <b>rising</b>.,
2929,未必,未必,wèibì,adv,"not necessarily, may not",他说的<b>未必</b>是真话。,What he says is <b>not necessarily</b> the truth.,
2930,吨,噸,dūn,measure,"ton, metric unit of weight",这辆卡车可以装载五<b>吨</b>货物。,This truck can carry five <b>tons</b> of goods.,
2931,模拟,模擬,mónǐ,verb,"simulate, imitate, mock",科学家在实验室<b>模拟</b>了这一过程。,Scientists <b>simulated</b> this process in the laboratory.,
2932,发言,發言,fāyán,verb,"speak, make a speech",轮到你在会上<b>发言</b>了。,It is your turn to <b>speak</b> at the meeting.,
2933,底下,底下,dǐxià,prep,"under, below, beneath",猫躲在桌子<b>底下</b>。,The cat is hiding <b>under</b> the table.,
2934,票,票,piào,noun,"ticket, ballot, vote",我买了两张电影<b>票</b>。,I bought two movie <b>tickets</b>.,
2935,出门,出門,chūmén,verb,"go out, leave home",我正准备<b>出门</b>办事。,I am just about to <b>go out</b> to run some errands.,
2936,辅助,輔助,fǔzhù,verb,"assist, auxiliary",电脑可以<b>辅助</b>我们处理数据。,Computers can <b>assist</b> us in processing data.,
2937,倾向,傾向,qīngxiàng,noun,"tendency, trend, inclination",他的研究表现出一种新的<b>倾向</b>。,His research shows a new <b>tendency</b>.,
2938,过年,過年,guònián,verb,celebrate the New Year,你打算在哪儿<b>过年</b>？,Where do you plan to <b>celebrate the New Year</b>?,
2939,照,照,zhào,prep,"according to, in accordance with",请<b>照</b>我的话去做。,Please do <b>as</b> I say.,
2940,庙,廟,miào,noun,"temple, shrine",这座<b>庙</b>已经有五百年的历史了。,This <b>temple</b> has a history of five hundred years.,
2941,帮,幫,bāng,verb,"help, assist",你能<b>帮</b>我拿一下包吗？,Can you <b>help</b> me hold my bag?,
2942,人工,人工,réngōng,adj,"artificial, manual labor",这个湖是<b>人工</b>挖掘而成的。,This lake was created by <b>artificial</b> excavation.,
2943,礼,禮,lǐ,noun,"gift, ceremony",这份<b>礼</b>实在太重了。,This <b>gift</b> is really too heavy.,
2944,信,信,xìn,noun,"letter, mail, message",我给远方的朋友写了一封<b>信</b>。,I wrote a <b>letter</b> to a friend far away.,
2945,胜利,勝利,shènglì,noun,"victory, success",我们终于取得了最后的<b>胜利</b>。,We finally achieved the final <b>victory</b>.,
2946,魅力,魅力,mèilì,noun,"charm, charisma",她是一个富有<b>魅力</b>的女性。,She is a woman full of <b>charm</b>.,
2947,首长,首長,shǒuzhǎng,noun,"chief, senior officer",士兵们正在向<b>首长</b>汇报工作。,The soldiers are reporting to the <b>chief</b>.,
2948,毫不,毫不,háobù,adv,"not at all, not in the least",他对这件事<b>毫不</b>在意。,He does <b>not</b> care <b>at all</b> about this matter.,
2949,组长,組長,zǔzhǎng,noun,"group leader, head of section",<b>组长</b>正在召集大家开会。,The <b>group leader</b> is calling everyone for a meeting.,
2950,专长,專長,zhuāncháng,noun,"specialty, expertise",编程是他的<b>专长</b>。,Programming is his <b>specialty</b>.,
2951,物品,物品,wùpǐn,noun,"article, item, goods",请保管好您的随身<b>物品</b>。,Please take good care of your personal <b>items</b>.,
2952,哇,哇,wā,particle,"wow, (exclamation)",<b>哇</b>，这里的景色太美了！,"<b>Wow</b>, the scenery here is so beautiful!",
2953,后者,後者,hòuzhě,pron,the latter,在两者之间，我选择了<b>后者</b>。,"Between the two, I chose the <b>latter</b>.",
2954,珍贵,珍貴,zhēnguì,adj,"precious, valuable",这是一份非常<b>珍贵</b>的礼物。,This is a very <b>precious</b> gift.,
2955,景象,景象,jǐngxiàng,noun,"scene, sight, prospect",街道上呈现出一派繁荣的<b>景象</b>。,The streets present a prosperous <b>scene</b>.,
2956,选出,選出,xuǎnchū,verb,"elect, select, pick out",我们<b>选出</b>了他作为代表。,We <b>elected</b> him as the representative.,
2957,澎湖,澎湖,Pénghú,noun,Penghu (islands),<b>澎湖</b>以其美丽的沙滩闻名。,<b>Penghu</b> is famous for its beautiful beaches.,
2958,学员,學員,xuéyuán,noun,"trainee, student",每位<b>学员</b>都必须参加考试。,Every <b>trainee</b> must take the exam.,
2959,监督,監督,jiāndū,verb,"supervise, monitor",政府应该加强对市场的<b>监督</b>。,The government should strengthen its <b>supervision</b> of the market.,
2960,加拿大,加拿大,Jiānádà,noun,Canada,他打算明年去<b>加拿大</b>留学。,He plans to go to <b>Canada</b> to study next year.,
2961,以色列,以色列,Yǐsèliè,noun,Israel,他去<b>以色列</b>旅游了一周。,He traveled to <b>Israel</b> for a week.,
2962,参赛,參賽,cānsài,verb,"take part in a competition, enter a match",许多运动员报名<b>参赛</b>。,Many athletes signed up to <b>take part in the competition</b>.,
2963,混乱,混亂,hùnluàn,adj,"confused, chaotic, messy",这里的交通非常<b>混乱</b>。,The traffic here is very <b>chaotic</b>.,
2964,走出,走出,zǒuchū,verb,"walk out, leave, emerge",他终于<b>走出</b>了困境。,He finally <b>walked out</b> of his predicament.,
2965,收到,收到,shōudào,verb,"receive, get, obtain",我昨天<b>收到</b>了你的信。,I <b>received</b> your letter yesterday.,
2966,佛,佛,fó,noun,"Buddha, Buddhism",这座寺庙里供奉着金<b>佛</b>。,A golden <b>Buddha</b> is enshrined in this temple.,
2967,如同,如同,rútóng,prep,"like, as, similar to",这里的风景美<b>如同</b>画。,The scenery here is beautiful <b>like</b> a painting.,
2968,初,初,chū,adj,"beginning, initial, early",我们在九月<b>初</b>开了学。,We started school in <b>early</b> September.,
2969,排,排,pái,verb,"stand in line, arrange, sequence",请大家<b>排</b>好队。,Please <b>stand in line</b> properly.,
2970,岁月,歲月,suìyuè,noun,"years, time, passage of time",<b>岁月</b>不饶人。,<b>Time</b> waits for no man.,
2971,届时,屆時,jièshí,adv,"at the appointed time, when the time comes",<b>届时</b>请准时出席。,Please attend on time <b>at the appointed time</b>.,
2972,这边,這邊,zhèbiān,pron,"this side, here",他的办公室在<b>这边</b>。,His office is on <b>this side</b>.,
2973,班,班,bān,measure,measure word for scheduled trips or groups,下一<b>班</b>飞机什么时候起飞？,When does the next <b>scheduled</b> flight take off?,
2974,塑造,塑造,sùzào,verb,"mold, portray, shape",这部小说成功地<b>塑造</b>了一个英雄。,This novel successfully <b>portrayed</b> a hero.,
2975,权威,權威,quánwēi,noun,"authority, authoritativeness",他在物理学领域非常有<b>权威</b>。,He has great <b>authority</b> in the field of physics.,
2976,双重,雙重,shuāngchóng,adj,"double, dual, twofold",他拥有<b>双重</b>国籍。,He has <b>dual</b> nationality.,
2977,古老,古老,gǔlǎo,adj,"ancient, old, age-old",中国是一个<b>古老</b>的国家。,China is an <b>ancient</b> country.,
2978,广播,廣播,guǎngbō,noun,"broadcast, radio program",每天早晨我都会听<b>广播</b>。,Every morning I listen to the <b>broadcast</b>.,
2979,乐观,樂觀,lèguān,adj,"optimistic, hopeful",我们应该对未来保持<b>乐观</b>。,We should remain <b>optimistic</b> about the future.,
2980,定期,定期,dìngqí,adv,"regularly, periodically, at fixed intervals",你应该<b>定期</b>去医院体检。,You should go to the hospital for a check-up <b>regularly</b>.,
2981,强大,強大,qiángdà,adj,"powerful, formidable, strong",这支军队非常<b>强大</b>。,This army is very <b>powerful</b>.,
2982,社会主义,社會主義,shèhuìzhǔyì,noun,socialism,这个国家坚持发展<b>社会主义</b>道路。,This country persists in following the path of <b>socialism</b>.,
2983,事宜,事宜,shìyí,noun,"arrangements, matters, affairs",双方正在讨论合作的具体<b>事宜</b>。,Both parties are discussing the specific <b>matters</b> of the cooperation.,
2984,交往,交往,jiāowǎng,verb,"associate, contact, date",他们已经<b>交往</b>了三年的时间。,They have been <b>dating</b> for three years.,
2985,时空,時空,shíkōng,noun,"time and space, spacetime",这部电影讲述了一个跨越<b>时空</b>的爱情故事。,This movie tells a love story that spans <b>time and space</b>.,
2986,露出,露出,lòuchū,verb,"reveal, show, expose",听了这个消息，他<b>露出</b>了满意的微笑。,"Hearing this news, he <b>showed</b> a satisfied smile.",
2987,请教,請教,qǐngjiào,verb,"consult, seek advice",我想向您<b>请教</b>几个关于学习的问题。,I would like to <b>consult</b> you on some questions about studying.,
2988,繁荣,繁榮,fánróng,adj,"prosperous, flourishing, booming",随着经济的发展，这个城市变得越来越<b>繁荣</b>。,"With the development of the economy, this city has become increasingly <b>prosperous</b>.",
2989,嬉皮,嬉皮,xīpí,noun,hippie,那个年代有很多追随自由的<b>嬉皮</b>士。,There were many <b>hippies</b> chasing freedom in that era.,
2990,斤,斤,jīn,measure,"jin, unit of weight equal to 500g",我去市场买了两<b>斤</b>苹果。,I went to the market and bought two <b>jin</b> of apples.,
2991,暨,暨,jì,conj,"and, as well as",这次会议的主题是科技<b>暨</b>创新发展。,The theme of this meeting is technology <b>and</b> innovative development.,
2992,行情,行情,hángqíng,noun,"market conditions, quotations, prices",投资者密切关注着股市的<b>行情</b>。,Investors are closely monitoring the stock market <b>conditions</b>.,
2993,先导,先導,xiāndǎo,noun,"forerunner, precursor, vanguard",这项实验是后续大规模研究的<b>先导</b>。,This experiment is the <b>precursor</b> to subsequent large-scale research.,
2994,防治,防治,fángzhì,verb,"prevent and treat, prevention and cure",政府采取了有效措施来<b>防治</b>这种流行病。,The government has taken effective measures to <b>prevent and treat</b> this epidemic.,
2995,列入,列入,lièrù,verb,"list, include, be listed",该项目已被<b>列入</b>明年的年度计划。,This project has been <b>listed</b> in next year's annual plan.,
2996,依据,依據,yījù,noun,"basis, grounds",我们做决策时必须有法律<b>依据</b>。,We must have a legal <b>basis</b> when making decisions.,
2997,完美,完美,wánměi,adj,"perfect, consummate",她的演出非常<b>完美</b>，赢得了阵阵掌声。,Her performance was <b>perfect</b> and won rounds of applause.,
2998,同胞,同胞,tóngbāo,noun,"compatriot, fellow citizen",我们应该关爱每一个受灾的<b>同胞</b>。,We should care for every disaster-stricken <b>compatriot</b>.,
2999,原理,原理,yuánlǐ,noun,"principle, fundamental theory",同学们正在实验室里学习杠杆<b>原理</b>。,Students are learning the <b>principle</b> of levers in the laboratory.,
3000,财富,財富,cáifù,noun,"wealth, fortune, riches",健康才是人生最宝贵的<b>财富</b>。,Health is the most precious <b>wealth</b> in life.,
3001,黄,黃,huáng,adj,"yellow, withered, failed",秋天到了，树叶都变<b>黄</b>了。,"Autumn has arrived, and the leaves have all turned <b>yellow</b>.",
3002,难免,難免,nánmiǎn,adv,"hard to avoid, unavoidable",刚开始工作，<b>难免</b>会犯错。,"When you first start working, it is <b>hard to avoid</b> making mistakes.",
3003,中小企业,中小企業,zhōngxiǎo qǐyè,noun,small and medium enterprises,政府为<b>中小企业</b>提供了贷款。,The government provided loans for <b>small and medium enterprises</b>.,
3004,全力,全力,quánlì,adv,"with all one's strength, all-out",我们必须<b>全力</b>以赴。,We must go <b>all-out</b>.,
3005,影响到,影響到,yǐngxiǎng dào,verb,"affect, interfere with",噪音<b>影响到</b>了我的睡眠。,The noise <b>affected</b> my sleep.,
3006,贵族,貴族,guìzú,noun,"aristocrat, nobility",他出生在一个古老的<b>贵族</b>家庭。,He was born into an old <b>aristocrat</b> family.,
3007,祖先,祖先,zǔxiān,noun,"ancestors, forebears",我们应该尊重我们的<b>祖先</b>。,We should respect our <b>ancestors</b>.,
3008,待,待,dài,verb,"wait until, treat",<b>待</b>到春暖花开时，我们再见面。,"<b>Wait until</b> the spring flowers bloom, then we will meet again.",
3009,怎么,怎麼,zěnme,pron,"how, why",你<b>怎么</b>还没去学校？,<b>How</b> come you haven't gone to school yet?,
3010,流通,流通,liútōng,verb,"circulate, in circulation",这种货币在市场上<b>流通</b>。,This currency <b>circulates</b> in the market.,
3011,姐姐,姊姊,jiějie,noun,older sister,我<b>姐姐</b>在银行工作。,My <b>older sister</b> works in a bank.,
3012,纯,純,chún,adj,"pure, simple",这种衣服是用<b>纯</b>棉做的。,These clothes are made of <b>pure</b> cotton.,
3013,学会,學會,xuéhuì,noun,"learned society, association",他是这个化学<b>学会</b>的会员。,He is a member of this chemistry <b>learned society</b>.,
3014,联系,聯繫,liánxì,verb,"contact, get in touch with",请随时跟我保持<b>联系</b>。,Please keep in <b>contact</b> with me at any time.,
3015,报,報,bào,verb,"report, announce",他向总部<b>报</b>告了进展。,He <b>reported</b> the progress to headquarters.,
3016,台风,颱風,táifēng,noun,typhoon,<b>台风</b>给这个城市带来了暴雨。,The <b>typhoon</b> brought heavy rain to the city.,
3017,盘,盤,pán,measure,classifier for games or matches,他们下了一<b>盘</b>棋。,They played a <b>game</b> of chess.,
3018,精致,精緻,jīngzhì,adj,"exquisite, delicate",这件手工艺品非常<b>精致</b>。,This handicraft is very <b>exquisite</b>.,
3019,联考,聯考,liánkǎo,noun,"entrance examination, unified exam",他正在为大学<b>联考</b>做准备。,He is preparing for the university <b>entrance exam</b>.,
3020,队伍,隊伍,duìwǔ,noun,"procession, ranks, team",游行<b>队伍</b>走过了大街。,The <b>procession</b> marched down the street.,
3021,大台北,大台北,dà Táiběi,noun,Greater Taipei area,他在<b>大台北</b>地区工作多年。,He has worked in the <b>Greater Taipei area</b> for many years.,
3022,和尚,和尚,héshàng,noun,Buddhist monk,那个<b>和尚</b>在寺庙里念经。,That <b>monk</b> is chanting in the temple.,
3023,回收,回收,huíshōu,verb,"recycle, recover",这种瓶子是可以<b>回收</b>的。,This kind of bottle is <b>recyclable</b>.,
3024,便是,便是,biànshì,conj,"even if, is exactly",<b>便是</b>再累，他也要坚持跑完。,"<b>Even if</b> he is exhausted, he must finish the run.",
3025,后,後,hòu,adj,"later, after, succeeding",事情的<b>后</b>果非常严重。,The <b>later</b> consequences of the matter are very serious.,
3026,师范,師範,shīfàn,adj,"teacher-training, pedagogical",他就读于一所<b>师范</b>大学。,He studies at a <b>teacher-training</b> university.,
3027,陷入,陷入,xiànrù,verb,"sink into, fall into, be caught in",公司最近<b>陷入</b>了财务危机。,The company has recently <b>fallen into</b> a financial crisis.,
3028,旅,旅,lǚ,verb,"travel, stay away from home",他长期<b>旅</b>居海外。,He has <b>traveled</b> and lived abroad for a long time.,
3029,高度,高度,gāodù,noun,"height, altitude, high degree",飞机正在一万米的<b>高度</b>飞行。,"The plane is flying at an <b>altitude</b> of 10,000 meters.",
3030,租,租,zū,verb,"rent, lease, hire",我在这座城市<b>租</b>了一套公寓。,I <b>rented</b> an apartment in this city.,
3031,副,副,fù,measure,"pair, set (for glasses, gloves, or expressions)",他戴着一<b>副</b>黑色的眼镜。,He is wearing a <b>pair</b> of black glasses.,
3032,意大利,義大利,yìdàlì,noun,Italy,我梦想明年去<b>意大利</b>旅游。,I dream of traveling to <b>Italy</b> next year.,
3033,篮球,籃球,lánqiú,noun,basketball,放学后，我们一起去打<b>篮球</b>。,"After school, we went to play <b>basketball</b> together.",
3034,生产力,生產力,shēngchǎnlì,noun,"productivity, productive force",科技进步大大提高了<b>生产力</b>。,Technological progress has greatly improved <b>productivity</b>.,
3035,犯,犯,fàn,verb,"commit, violate, offend",谁都会<b>犯</b>错误，关键是能改正。,Everyone <b>commits</b> errors; the key is being able to correct them.,
3036,评鉴,評鑑,píngjiàn,verb,"evaluate, assess, appraise",学校每年都会对教师进行<b>评鉴</b>。,The school <b>evaluates</b> its teachers every year.,
3037,搜寻,搜尋,sōuxún,verb,"search for, seek, look for",救援队正在森林里<b>搜寻</b>失踪者。,The rescue team is <b>searching for</b> the missing person in the forest.,
3038,有利,有利,yǒulì,adj,"advantageous, beneficial, favorable",这种天气对农作物生长非常<b>有利</b>。,This kind of weather is very <b>beneficial</b> for crop growth.,
3039,情境,情境,qíngjìng,noun,"situation, context, circumstances",这种教学<b>情境</b>有助于学生理解。,This teaching <b>situation</b> helps students understand.,
3040,处处,處處,chùchù,adv,"everywhere, in all respects",生活中<b>处处</b>充满了惊喜。,Life is <b>everywhere</b> full of surprises.,
3041,则,則,zé,measure,"piece, item (for news or stories)",报纸上刊登了一<b>则</b>寻人启事。,A missing person notice was published as an <b>item</b> in the newspaper.,
3042,物价,物價,wùjià,noun,"commodity prices, cost of living",最近<b>物价</b>上涨得很厉害。,<b>Commodity prices</b> have risen sharply recently.,
3043,宜,宜,yí,adj,"suitable, appropriate, fitting",这里气候宜人，非常<b>宜</b>居。,The climate here is pleasant and very <b>suitable</b> for living.,
3044,弄,弄,nòng,verb,"do, handle, get",别把衣服<b>弄</b>脏了。,Don't <b>get</b> your clothes dirty.,
3045,根,根,gēn,noun,"root, base",这棵树的<b>根</b>部扎得很深。,The <b>roots</b> of this tree are very deep.,
3046,趟,趟,tàng,measure,measure word for trips or rounds,我下午要去一<b>趟</b>银行。,I need to go to the bank for a <b>trip</b> this afternoon.,
3047,歌曲,歌曲,gēqǔ,noun,"song, melody",这首<b>歌曲</b>在年轻人中很流行。,This <b>song</b> is very popular among young people.,
3048,烧,燒,shāo,verb,"burn, cook, have a fever",他在后院<b>烧</b>树叶。,He is <b>burning</b> leaves in the backyard.,
3049,赵,趙,Zhào,noun,Zhao (surname),<b>赵</b>先生是我们的新经理。,Mr. <b>Zhao</b> is our new manager.,
3050,文物,文物,wénwù,noun,"cultural relic, artifact",博物馆里陈列着许多珍贵的<b>文物</b>。,There are many precious <b>cultural relics</b> on display in the museum.,
3051,四处,四處,sìchù,adv,"everywhere, all around",他<b>四处</b>寻找丢失的钥匙。,He looked <b>everywhere</b> for his lost keys.,
3052,心脏,心臟,xīnzàng,noun,heart,慢跑对<b>心脏</b>健康有好处。,Jogging is good for <b>heart</b> health.,
3053,难怪,難怪,nánguài,adv,no wonder,他生病了，<b>难怪</b>今天没来。,"He is sick, <b>no wonder</b> he didn't come today.",
3054,唱歌,唱歌,chànggē,verb,sing,她非常喜欢在洗澡时<b>唱歌</b>。,She really likes to <b>sing</b> in the shower.,
3055,数目,數目,shùmù,noun,"number, amount",失业人员的<b>数目</b>正在下降。,The <b>number</b> of unemployed people is decreasing.,
3056,不时,不時,bùshí,adv,"frequently, from time to time",他<b>不时</b>地看表。,He <b>frequently</b> looks at his watch.,
3057,修订,修訂,xiūdìng,verb,"revise, amend",这本书正在准备进行<b>修订</b>。,The book is currently being prepared for <b>revision</b>.,
3058,词汇,詞彙,cíhuì,noun,"vocabulary, lexicon",阅读可以帮助你扩大<b>词汇</b>量。,Reading can help you expand your <b>vocabulary</b>.,
3059,干脆,乾脆,gāncuì,adj,"straightforward, clear-cut",他说话办事都很<b>干脆</b>。,He is very <b>straightforward</b> in both speech and action.,
3060,社长,社長,shèzhǎng,noun,"president, director",<b>社长</b>正在主持年度会议。,The <b>president</b> is presiding over the annual meeting.,
3061,球场,球場,qiúchǎng,noun,"ball field, court, stadium",孩子们下午都在<b>球场</b>踢球。,The children are playing ball at the <b>field</b> all afternoon.,
3062,身份,身份,shēnfèn,noun,"identity, status",请证明您的合法<b>身份</b>。,Please prove your legal <b>identity</b>.,
3063,解释,解釋,jiěshì,verb,"explain, interpret",你能向我<b>解释</b>一下这个词的意思吗？,Can you <b>explain</b> the meaning of this word to me?,
3064,计划,計畫,jìhuà,noun,"plan, project",我们需要一个长期的发展<b>计划</b>。,We need a long-term development <b>plan</b>.,
3065,水果,水果,shuǐguǒ,noun,fruit,我喜欢吃各种<b>水果</b>。,I like to eat various kinds of <b>fruit</b>.,
3066,发明,發明,fāmíng,verb,"invent, invention",爱迪生<b>发明</b>了电灯。,Edison <b>invented</b> the light bulb.,
3067,户外,戶外,hùwài,adj,"outdoor, outdoors",他很喜欢<b>户外</b>运动。,He likes <b>outdoor</b> sports very much.,
3068,司法,司法,sīfǎ,noun,"judicial, justice, judiciary",国家的<b>司法</b>系统必须公正。,The country's <b>judicial</b> system must be fair.,
3069,热门,熱門,rèmén,adj,"popular, in demand",人工智能是一个非常<b>热门</b>的话题。,Artificial intelligence is a very <b>popular</b> topic.,
3070,环保局,環保局,huánbǎojú,noun,Environmental Protection Bureau,<b>环保局</b>正在调查水污染。,The <b>Environmental Protection Bureau</b> is investigating water pollution.,
3071,解放,解放,jiěfàng,verb,"liberate, emancipate",这项技术把工人从繁重的工作中<b>解放</b>了出来。,This technology <b>liberated</b> workers from heavy labor.,
3072,草,草,cǎo,noun,"grass, straw, draft",牛在山上吃<b>草</b>。,Cows are eating <b>grass</b> on the hill.,
3073,东吴,東吳,dōngwú,noun,"Eastern Wu, Soochow",<b>东吴</b>是三国时期的三个主要国家之一。,<b>Eastern Wu</b> was one of the three major states during the Three Kingdoms period.,
3074,幸运,幸運,xìngyùn,adj,"lucky, fortunate",你能赢真是太<b>幸运</b>了。,You are so <b>lucky</b> to have won.,
3075,违规,違規,wéiguī,verb,"violate regulations, break rules",他因为<b>违规</b>驾驶被罚款了。,He was fined for <b>violating regulations</b> while driving.,
3076,下来,下來,xiàlái,verb,"come down, descend",你快从楼上<b>下来</b>吧。,Please <b>come down</b> from upstairs.,
3077,热心,熱心,rèxīn,adj,"enthusiastic, warm-hearted",她是一个非常<b>热心</b>的人。,She is a very <b>warm-hearted</b> person.,
3078,算,算,suàn,verb,"count as, consider",这件小事不<b>算</b>什么。,This little thing doesn't <b>count as</b> anything.,
3079,领,領,lǐng,verb,"receive, draw, lead",他去银行<b>领</b>工资了。,He went to the bank to <b>draw</b> his salary.,
3080,创新,創新,chuàngxīn,noun,"innovation, innovate",<b>创新</b>是企业发展的动力。,<b>Innovation</b> is the driving force of enterprise development.,
3081,电,電,diàn,noun,"electricity, electric",这里停<b>电</b>了。,The <b>electricity</b> went out here.,
3082,灵魂,靈魂,línghún,noun,"soul, spirit",音乐是<b>灵魂</b>的语言。,Music is the language of the <b>soul</b>.,
3083,尊严,尊嚴,zūnyán,noun,"dignity, honor",每个人都应该有<b>尊严</b>地生活。,Everyone should live with <b>dignity</b>.,
3084,协商,協商,xiéshāng,verb,"consult, negotiate",双方正在就合同条款进行<b>协商</b>。,Both parties are <b>negotiating</b> the terms of the contract.,
3085,网,網,wǎng,noun,"net, network, web",蜘蛛正在织<b>网</b>。,The spider is spinning a <b>web</b>.,
