id,Lemma,POS,PL_full,PL,EN,PL_sentence,EN_sentence,media
656,ręcznik,NOUN,ręcznik,ręcznik,towel,"Po kąpieli owinął się w duży, miękki <b>ręcznik</b>.","After the bath, he wrapped himself in a large, soft <b>towel</b>.",
657,bielizna,NOUN,bielizna,bielizna,"underwear, lingerie",Bawełniana <b>bielizna</b> jest najzdrowsza dla skóry.,Cotton <b>underwear</b> is the healthiest for the skin.,
658,kosmetyczka,NOUN,kosmetyczka,kosmetyczka,"vanity case, toiletry bag",Moja <b>kosmetyczka</b> nie mieści się w bagażu podręcznym.,My <b>vanity case</b> doesn't fit in my carry-on luggage.,
659,kosmetyczka,NOUN,kosmetyczka,kosmetyczka,"beautician, esthetician",Moja <b>kosmetyczka</b> poleciła mi świetny krem nawilżający.,My <b>beautician</b> recommended a great moisturizing cream.,
660,portfel,NOUN,portfel,portfel,"wallet, purse",Zgubiłem <b>portfel</b> ze wszystkimi dokumentami i kartami.,I lost my <b>wallet</b> with all my documents and cards.,
661,niemowlę,NOUN,niemowlę,niemowlę,"infant, baby",<b>Niemowlę</b> śpi spokojnie w swoim łóżeczku.,The <b>infant</b> is sleeping peacefully in its crib.,
662,chłopczyk,NOUN,chłopczyk,chłopczyk,"little boy, baby boy",Ten mały <b>chłopczyk</b> bardzo przypomina swojego tatę.,That little <b>boy</b> looks very much like his dad.,
663,wózek dziecięcy,PHRASE,wózek dziecięcy,wózek dziecięcy,"stroller, pram, baby carriage","Kupiliśmy nowoczesny <b>wózek dziecięcy</b>, który łatwo się składa.",We bought a modern <b>stroller</b> that is easy to fold.,
664,dziewczynka,NOUN,dziewczynka,dziewczynka,"little girl, baby girl",Mała <b>dziewczynka</b> bawi się lalką w ogrodzie.,A little <b>girl</b> is playing with a doll in the garden.,
665,okres niemowlęcy,PHRASE,okres niemowlęcy,okres niemowlęcy,"infancy, babyhood",To <b>okres niemowlęcy</b> jest kluczowy dla rozwoju dziecka.,The <b>infancy</b> period is crucial for a child's development.,
666,dziecinny,ADJ,dziecinny,dziecinny,"childish, babyish",Przestań się zachowywać w tak <b>dziecinny</b> sposób.,Stop acting in such a <b>childish</b> way.,
667,śliniaczek,NOUN,śliniaczek,śliniaczek,bib,"Załóż dziecku <b>śliniaczek</b>, żeby nie pobrudziło ubranka.",Put a <b>bib</b> on the baby so they don't get their clothes dirty.,
668,karmić piersią,PHRASE,karmić piersią,karmić piersią,"to breastfeed, to suckle",Wiele kobiet decyduje się <b>karmić piersią</b> ze względów zdrowotnych.,Many women decide to <b>breastfeed</b> for health reasons.,
669,cesarskie cięcie,PHRASE,cesarskie cięcie,cesarskie cięcie,"C-section, Caesarean section","Lekarz musiał wykonać <b>cesarskie cięcie</b>, aby uratować dziecko.",The doctor had to perform a <b>C-section</b> to save the baby.,
670,przewijać niemowlę,PHRASE,przewijać niemowlę,przewijać niemowlę,"to change a baby, to change a diaper","Młody ojciec uczy się, jak sprawnie <b>przewijać niemowlę</b>.",The young father is learning how to efficiently <b>change the baby</b>.,
671,dziecko,NOUN,dziecko,dziecko,"child, kid",Każde <b>dziecko</b> zasługuje na bezpieczny i szczęśliwy dom.,Every <b>child</b> deserves a safe and happy home.,
672,opieka nad dzieckiem,PHRASE,opieka nad dzieckiem,opieka nad dzieckiem,"childcare, babysitting",Dobra <b>opieka nad dzieckiem</b> jest bardzo ważna.,Good <b>childcare</b> is very important.,
673,dziecko,NOUN,dziecko,dziecko,"child, kid",To <b>dziecko</b> bawi się w piaskownicy.,That <b>child</b> is playing in the sandbox.,
674,kołyska,NOUN,kołyska,kołyska,"cradle, crib",Niemowlę śpi spokojnie w <b>kołysce</b>.,The infant is sleeping peacefully in the <b>cradle</b>.,
675,nie bądź dzieckiem!,PHRASE,nie bądź dzieckiem!,nie bądź dzieckiem!,"don't be a baby, don't be childish",Przestań narzekać i <b>nie bądź dzieckiem!</b>,Stop complaining and <b>don't be a baby!</b>,
676,ślinić się,VERB,ślinić się,ślinić się,"to drool, to dribble","Małe dzieci często <b>ślinią się</b>, gdy ząbkują.",Small children often <b>drool</b> when they are teething.,
677,smoczek,NOUN,smoczek,smoczek,"pacifier, dummy","Dziecko uspokoiło się, gdy dostało <b>smoczek</b>.",The baby calmed down when it got its <b>pacifier</b>.,
678,przyszła matka,PHRASE,przyszła matka,przyszła matka,"expectant mother, mother-to-be",Każda <b>przyszła matka</b> powinna dbać o swoje zdrowie.,Every <b>expectant mother</b> should take care of her health.,
679,butelka dla niemowląt,NOUN,butelka dla niemowląt,butelka dla niemowląt,"baby bottle, feeding bottle",Muszę wyparzyć <b>butelkę dla niemowląt</b>.,I need to sterilize the <b>baby bottle</b>.,
680,zajść w ciążę,PHRASE,zajść w ciążę,zajść w ciążę,"to get pregnant, to conceive",Oni od dawna starają się <b>zajść w ciążę</b>.,They have been trying to <b>get pregnant</b> for a long time.,
681,niemowlęctwo,NOUN,niemowlęctwo,niemowlęctwo,infancy,Okres <b>niemowlęctwa</b> jest kluczowy dla rozwoju człowieka.,The period of <b>infancy</b> is crucial for human development.,
682,bóle porodowe,NOUN,bóle porodowe,bóle porodowe,"labor pains, contractions",Pierwsze <b>bóle porodowe</b> zaczęły się w nocy.,The first <b>labor pains</b> started during the night.,
683,wyprawka niemowlęca,NOUN,wyprawka niemowlęca,wyprawka niemowlęca,"layette, baby kit",Kupiliśmy już całą <b>wyprawkę niemowlęcą</b>.,We have already bought the entire <b>layette</b>.,
684,kołysanka,NOUN,kołysanka,kołysanka,lullaby,Mama śpiewa dziecku cichą <b>kołysankę</b>.,Mom is singing a quiet <b>lullaby</b> to the baby.,
685,macierzyński,ADJ,macierzyński,macierzyński,"maternal, maternity",Ona przebywa obecnie na urlopie <b>macierzyńskim</b>.,She is currently on <b>maternity</b> leave.,
686,macierzyństwo,NOUN,macierzyństwo,macierzyństwo,"motherhood, maternity",<b>Macierzyństwo</b> całkowicie zmieniło jej priorytety.,<b>Motherhood</b> completely changed her priorities.,
687,suknia ciążowa,NOUN,suknia ciążowa,suknia ciążowa,maternity dress,Ta <b>suknia ciążowa</b> jest bardzo wygodna i stylowa.,This <b>maternity dress</b> is very comfortable and stylish.,
688,szpital położniczy,NOUN,szpital położniczy,szpital położniczy,"maternity hospital, maternity ward",Ten <b>szpital położniczy</b> ma bardzo dobre opinie.,This <b>maternity hospital</b> has very good reviews.,
689,matczyny,ADJ,matczyny,matczyny,"motherly, maternal",Zawsze mogłem liczyć na jej <b>matczyny</b> instynkt.,I could always count on her <b>motherly</b> instinct.,
690,pieluszka,NOUN,pieluszka,pieluszka,"diaper, nappy","Muszę przewinąć dziecko, bo jego <b>pieluszka</b> jest mokra.",I need to change the baby because its <b>diaper</b> is wet.,
691,odparzenie od pieluszki,NOUN,odparzenie od pieluszki,odparzenie od pieluszki,"diaper rash, nappy rash",Ta maść jest najlepsza na <b>odparzenie od pieluszki</b>.,This ointment is the best for <b>diaper rash</b>.,
692,poród naturalny,PHRASE,poród naturalny,poród naturalny,"natural childbirth, vaginal delivery","Chciałabym mieć <b>poród naturalny</b>, jeśli to możliwe.",I would like to have a <b>natural childbirth</b> if possible.,
693,poporodowy,ADJ,poporodowy,poporodowy,"postnatal, postpartum",Wiele kobiet cierpi na depresję <b>poporodową</b>.,Many women suffer from <b>postnatal</b> depression.,
694,ciąża,NOUN,ciąża,ciąża,pregnancy,Druga <b>ciąża</b> była dla niej znacznie trudniejsza.,The second <b>pregnancy</b> was much harder for her.,
695,test ciążowy,NOUN,test ciążowy,test ciążowy,pregnancy test,Kupiliśmy <b>test ciążowy</b> w aptece.,We bought a <b>pregnancy test</b> at the pharmacy.,
696,w ciąży,PHRASE,w ciąży,w ciąży,"pregnant, with child",Moja siostra jest obecnie <b>w ciąży</b>.,My sister is currently <b>pregnant</b>.,
697,kobieta w ciąży,PHRASE,kobieta w ciąży,kobieta w ciąży,"pregnant woman, expectant mother",<b>Kobieta w ciąży</b> powinna unikać surowego mięsa.,A <b>pregnant woman</b> should avoid raw meat.,
698,wcześniak,NOUN,wcześniak,wcześniak,"premature baby, preemie",Jako <b>wcześniak</b> musiał spędzić miesiąc w inkubatorze.,"As a <b>premature baby</b>, he had to spend a month in an incubator.",
699,czworaczki,NOUN,czworaczki,czworaczki,"quadruplets, quads",Narodziny <b>czworaczków</b> to rzadkie wydarzenie.,The birth of <b>quadruplets</b> is a rare event.,
700,pięcioraczki,NOUN,pięcioraczki,pięcioraczki,"quintuplets, quints",Rodzice <b>pięcioraczków</b> otrzymali pomoc od miasta.,The parents of the <b>quintuplets</b> received help from the city.,
701,dawać klapsa,PHRASE,dawać klapsa,dawać klapsa,"to spank, to smack",Rodzice nie powinni <b>dawać klapsa</b> swoim dzieciom.,Parents should not <b>spank</b> their children.,
702,pluszowa zabawka,NOUN,pluszowa zabawka,pluszowa zabawka,"stuffed toy, plush toy",To jest jego ulubiona <b>pluszowa zabawka</b>.,This is his favorite <b>stuffed toy</b>.,
703,dziecko z probówki,PHRASE,dziecko z probówki,dziecko z probówki,test-tube baby,Pierwsze <b>dziecko z probówki</b> urodziło się w 1978 roku.,The first <b>test-tube baby</b> was born in 1978.,
704,dziecko jest pod moją opieką,PHRASE,dziecko jest pod moją opieką,dziecko jest pod moją opieką,the child is in my care,"Nie martw się, <b>dziecko jest pod moją opieką</b>.","Don't worry, <b>the child is in my care</b>.",
705,w trzecim miesiącu ciąży,PHRASE,w trzecim miesiącu ciąży,w trzecim miesiącu ciąży,three months pregnant,"Odkryła, że jest <b>w trzecim miesiącu ciąży</b>.",She discovered she was <b>three months pregnant</b>.,
706,berbeć,NOUN,berbeć,berbeć,"toddler, little one, tyke","Spójrz, jak ten mały <b>berbeć</b> próbuje biegać.",Look at how that little <b>toddler</b> is trying to run.,
707,brzdąc,NOUN,brzdąc,brzdąc,"tot, little kid, nipper",Mały <b>brzdąc</b> bawił się w piaskownicy.,The little <b>tot</b> was playing in the sandbox.,
708,zabawka,NOUN,zabawka,zabawka,"toy, plaything","To nie jest <b>zabawka</b>, odłóż to na miejsce.","This is not a <b>toy</b>, put it back.",
709,samochodzik,NOUN,samochodzik,samochodzik,"toy car, model car",Chłopiec bawił się czerwonym <b>samochodzikiem</b> na dywanie.,The boy was playing with a red <b>toy car</b> on the carpet.,
710,żołnierzyk,NOUN,żołnierzyk,żołnierzyk,toy soldier,Mój dziadek kolekcjonował ołowiane <b>żołnierzyki</b>.,My grandfather used to collect lead <b>toy soldiers</b>.,
711,trojaczki,NOUN,trojaczki,trojaczki,triplets,"Kiedy urodziły się <b>trojaczki</b>, w domu zapanował chaos.","When the <b>triplets</b> were born, chaos broke out in the house.",
712,suknia ślubna,NOUN,suknia ślubna,suknia ślubna,"wedding dress, bridal gown",Jej **suknia ślubna** była uszyta z jedwabiu.,Her **wedding dress** was made of silk.,
713,drużba,NOUN,drużba,drużba,"best man, groomsman",Mój brat był moim **drużbą** na weselu.,My brother was my **best man** at the wedding.,
714,ślubny,ADJ,ślubny,ślubny,"wedding, bridal, matrimonial",To jest ich oficjalny album **ślubny**.,This is their official **wedding** album.,
715,państwo młodzi,NOUN,państwo młodzi,państwo młodzi,"newlyweds, bridal couple",**Państwo młodzi** otrzymali od gości wiele prezentów.,The **newlyweds** received many gifts from the guests.,
716,panna młoda,NOUN,panna młoda,panna młoda,bride,**Panna młoda** wyglądała zachwycająco w swojej białej sukni.,The **bride** looked stunning in her white dress.,
717,pan młody,NOUN,pan młody,pan młody,"groom, bridegroom",**Pan młody** czekał z niecierpliwością przy ołtarzu.,The **groom** was waiting impatiently at the altar.,
718,druhna,NOUN,druhna,druhna,bridesmaid,Moja najlepsza przyjaciółka zgodziła się być moją **druhną**.,My best friend agreed to be my **bridesmaid**.,
719,ślub kościelny,NOUN,ślub kościelny,ślub kościelny,"church wedding, religious wedding",Para zdecydowała się na tradycyjny **ślub kościelny**.,The couple decided on a traditional **church wedding**.,
720,ślub cywilny,NOUN,ślub cywilny,ślub cywilny,civil wedding,Najpierw wzięli **ślub cywilny** w urzędzie stanu cywilnego.,"First, they had a **civil wedding** at the registry office.",
721,brać ślub,VERB,brać ślub,brać ślub,"to get married, wed",Planujemy **brać ślub** w przyszłym roku w czerwcu.,We plan **to get married** next year in June.,
722,pozłacane zaproszenie,NOUN,pozłacane zaproszenie,pozłacane zaproszenie,"gilded invitation, gold-plated invitation","Wysłaliśmy każdemu eleganckie, **pozłacane zaproszenie**.","We sent everyone an elegant, **gilded invitation**.",
723,gość,NOUN,gość,gość,"guest, visitor",Na weselu było ponad stu zaproszonych **gości**.,There were over a hundred invited **guests** at the wedding.,
724,goście,NOUN,goście,goście,"away team, visitors",**Goście** wygrali dzisiejszy mecz wynikiem dwa do zera.,The **away team** won today's match with a score of two to zero.,
725,akt ślubu,NOUN,akt ślubu,akt ślubu,marriage certificate,Musieliśmy odebrać nasz **akt ślubu** z urzędu.,We had to pick up our **marriage certificate** from the office.,
726,poślubiać,VERB,poślubiać,poślubiać,"to marry, wed",On zamierza **poślubić** swoją narzeczoną w te wakacje.,He intends **to marry** his fiancée this summer.,
727,wieczór kawalerski,NOUN,wieczór kawalerski,wieczór kawalerski,"bachelor party, stag party",Zorganizowaliśmy mu niezapomniany **wieczór kawalerski** w Krakowie.,We organized an unforgettable **bachelor party** for him in Krakow.,
728,apartament dla nowożeńców,NOUN,apartament dla nowożeńców,apartament dla nowożeńców,"bridal suite, honeymoon suite",Hotel przygotował dla nich luksusowy **apartament dla nowożeńców**.,The hotel prepared a luxurious **bridal suite** for them.,
729,pobrać się,VERB,pobrać się,pobrać się,"to get married, marry",Moi rodzice **pobrali się** w 1990 roku.,My parents **got married** in 1990.,
730,ślub,NOUN,ślub,ślub,"wedding, marriage ceremony","To był najpiękniejszy **ślub**, na jakim kiedykolwiek byłem.",It was the most beautiful **wedding** I have ever been to.,
731,rocznica ślubu,NOUN,rocznica ślubu,rocznica ślubu,wedding anniversary,Dzisiaj obchodzimy naszą dziesiątą **rocznicę ślubu**.,Today we are celebrating our tenth **wedding anniversary**.,
732,ceremonia ślubna,NOUN,ceremonia ślubna,ceremonia ślubna,wedding ceremony,**Ceremonia ślubna** odbyła się w małym ogródku.,The **wedding ceremony** took place in a small garden.,
733,dzień ślubu,PHRASE,dzień ślubu,dzień ślubu,wedding day,"To był najpiękniejszy **dzień ślubu**, jaki można sobie wymarzyć.",It was the most beautiful **wedding day** one could imagine.,
734,prezent ślubny,PHRASE,prezent ślubny,prezent ślubny,"wedding present, wedding gift",Para młoda otrzymała niejeden kosztowny **prezent ślubny**.,The young couple received more than one expensive **wedding gift**.,
735,orszak ślubny,PHRASE,orszak ślubny,orszak ślubny,"wedding procession, bridal cortege",Przez miasto przeszedł radosny **orszak ślubny**.,A joyful **wedding procession** passed through the city.,
736,obrączka ślubna,PHRASE,obrączka ślubna,obrączka ślubna,"wedding ring, wedding band",Zgubiła swoją **obrączkę ślubną** na plaży.,She lost her **wedding ring** on the beach.,
737,życie pośmiertne,PHRASE,życie pośmiertne,życie pośmiertne,"afterlife, life after death",Wiele religii wierzy w **życie pośmiertne**.,Many religions believe in the **afterlife**.,
738,sekcja zwłok,PHRASE,sekcja zwłok,sekcja zwłok,"autopsy, post-mortem",Przyczyna zgonu zostanie ustalona podczas **sekcji zwłok**.,The cause of death will be determined during the **autopsy**.,
739,bać się śmierci,PHRASE,bać się śmierci,bać się śmierci,"to be afraid of death, to fear death",Nie wolno przez całe życie **bać się śmierci**.,You mustn't be **afraid of death** your whole life.,
740,ścięcie,NOUN,ścięcie,ścięcie,"beheading, decapitation",Dawniej karą za zdradę często było **ścięcie**.,"In the past, the punishment for treason was often **beheading**.",
741,pogrzebać,VERB,pogrzebać,pogrzebać,"to bury, inter",Rodzina postanowiła **pogrzebać** go w rodzinnym mieście.,The family decided to **bury** him in his hometown.,
742,trumna,NOUN,trumna,trumna,"coffin, casket",Dębowa **trumna** była bardzo ciężka.,The oak **coffin** was very heavy.,
743,popełnić samobójstwo,PHRASE,popełnić samobójstwo,popełnić samobójstwo,"to commit suicide, to take one's own life",Główny bohater powieści postanowił **popełnić samobójstwo**.,The main character of the novel decided to **commit suicide**.,
744,ciało,NOUN,ciało,ciało,"corpse, body",Policja odnalazła w lesie **ciało** zaginionego mężczyzny.,The police found the missing man's **corpse** in the forest.,
745,skremować,VERB,skremować,skremować,to cremate,"Jego ostatnią wolą było, aby go **skremować**.",His last wish was to be **cremated**.,
746,kremacja,NOUN,kremacja,kremacja,cremation,Coraz więcej osób decyduje się na **kremację** zamiast tradycyjnego pochówku.,More and more people are opting for **cremation** instead of a traditional burial.,
747,krematorium,NOUN,krematorium,krematorium,crematorium,Ciało przewieziono do pobliskiego **krematorium**.,The body was taken to a nearby **crematorium**.,
748,denat,NOUN,denat,denat,"dead body, deceased",**Denat** nie miał przy sobie żadnych dokumentów tożsamości.,The **dead body** had no identity documents on him.,
749,martwy mężczyzna,PHRASE,martwy mężczyzna,martwy mężczyzna,dead man,W opuszczonym domu znaleziono **martwego mężczyznę**.,A **dead man** was found in the abandoned house.,
750,martwy,ADJ,martwy,martwy,"dead, lifeless",Ten kwiat jest już całkowicie **martwy** i suchy.,This flower is already completely **dead** and dry.,
751,śmierć przez powieszenie,PHRASE,śmierć przez powieszenie,śmierć przez powieszenie,death by hanging,W tamtych czasach wyrokiem za morderstwo była **śmierć przez powieszenie**.,"In those days, the sentence for murder was **death by hanging**.",
752,akt zgonu,PHRASE,akt zgonu,akt zgonu,death certificate,Urzędnik poprosił o przedłożenie oryginału **aktu zgonu**.,The official asked for the original **death certificate** to be presented.,
753,śmierć,NOUN,śmierć,śmierć,death,Boimy się <b>śmierci</b>.,We are afraid of <b>death</b>.,
754,nieboszczyk,NOUN,nieboszczyk,nieboszczyk,"deceased person, the late",Rodzina pożegnała <b>nieboszczyka</b>.,The family said goodbye to the <b>deceased</b>.,
755,umrzeć,VERB,umrzeć,umrzeć,"to die, pass away",Każdy musi kiedyś <b>umrzeć</b>.,Everyone must <b>die</b> one day.,
756,umieranie,NOUN,umieranie,umieranie,dying,Proces <b>umierania</b> bywa bolesny.,The process of <b>dying</b> can be painful.,
757,epitafium,NOUN,epitafium,epitafium,epitaph,Na nagrobku wyryto krótkie <b>epitafium</b>.,A short <b>epitaph</b> was engraved on the gravestone.,
758,egzekucja,NOUN,egzekucja,egzekucja,"execution, enforcement",<b>Egzekucja</b> wyroku została wstrzymana.,The <b>execution</b> of the sentence was stayed.,
759,bratobójstwo,NOUN,bratobójstwo,bratobójstwo,fratricide,Ta wojna domowa to czyste <b>bratobójstwo</b>.,This civil war is pure <b>fratricide</b>.,
760,dom pogrzebowy,NOUN,dom pogrzebowy,dom pogrzebowy,"funeral home, funeral parlor",<b>Dom pogrzebowy</b> zajął się wszystkimi formalnościami.,The <b>funeral home</b> took care of all the formalities.,
761,pogrzeb,NOUN,pogrzeb,pogrzeb,funeral,<b>Pogrzeb</b> odbędzie się w najbliższą sobotę.,The <b>funeral</b> will take place this coming Saturday.,
762,kondukt pogrzebowy,NOUN,kondukt pogrzebowy,kondukt pogrzebowy,funeral procession,<b>Kondukt pogrzebowy</b> powoli przeszedł przez miasto.,The <b>funeral procession</b> slowly passed through the city.,
763,grób,NOUN,grób,grób,"grave, tomb",Złożył kwiaty na <b>grobie</b> ojca.,He laid flowers on his father's <b>grave</b>.,
764,grabarz,NOUN,grabarz,grabarz,gravedigger,<b>Grabarz</b> kopał dół w milczeniu.,The <b>gravedigger</b> was digging the hole in silence.,
765,nagrobek,NOUN,nagrobek,nagrobek,"gravestone, tombstone",Ten marmurowy <b>nagrobek</b> jest bardzo stary.,This marble <b>gravestone</b> is very old.,
766,cmentarz,NOUN,cmentarz,cmentarz,"cemetery, graveyard",Na tym <b>cmentarzu</b> panuje niesamowita cisza.,There is an uncanny silence at this <b>cemetery</b>.,
767,zmarł śmiercią naturalną,PHRASE,zmarł śmiercią naturalną,zmarł śmiercią naturalną,died a natural death,Mój pradziadek <b>zmarł śmiercią naturalną</b> we śnie.,My great-grandfather <b>died a natural death</b> in his sleep.,
768,umarł na raka,PHRASE,umarł na raka,umarł na raka,died of cancer,"Niestety, on <b>umarł na raka</b> w zeszłym roku.","Unfortunately, he <b>died of cancer</b> last year.",
769,hospicjum,NOUN,hospicjum,hospicjum,hospice,Chory otrzymał profesjonalną opiekę w <b>hospicjum</b>.,The sick person received professional care in the <b>hospice</b>.,
770,zabić,VERB,zabić,zabić,"to kill, slay",Musiał <b>zabić</b> to zwierzę w obronie własnej.,He had to <b>kill</b> that animal in self-defense.,
771,śmiertelny,ADJ,śmiertelny,śmiertelny,"mortal, fatal, deadly","Lekarz stwierdził, że to była <b>śmiertelna</b> rana.",The doctor confirmed that it was a <b>fatal</b> wound.,
772,żałoba narodowa,NOUN,żałoba narodowa,żałoba narodowa,national mourning,Prezydent ogłosił trzy dni <b>żałoby narodowej</b>.,The president announced three days of <b>national mourning</b>.,
773,nekrolog,NOUN,nekrolog,nekrolog,obituary,W gazecie ukazał się <b>nekrolog</b> znanego aktora.,A famous actor's <b>obituary</b> appeared in the newspaper.,
774,na łożu śmierci,PHRASE,na łożu śmierci,na łożu śmierci,on one's deathbed,Wyznał swój sekret dopiero <b>na łożu śmierci</b>.,He only confessed his secret <b>on his deathbed</b>.,
775,ojcobójstwo,NOUN,ojcobójstwo,ojcobójstwo,patricide,Został skazany za <b>ojcobójstwo</b>.,He was convicted of <b>patricide</b>.,
776,przeprowadzić sekcję zwłok,PHRASE,przeprowadzić sekcję zwłok,przeprowadzić sekcję zwłok,to perform an autopsy,Sąd nakazał <b>przeprowadzić sekcję zwłok</b> ofiary.,The court ordered to <b>perform an autopsy</b> on the victim.,
777,zginąć,VERB,zginąć,zginąć,"to perish, to die",Wielu ludzi <b>zginęło</b> podczas powodzi.,Many people <b>perished</b> during the flood.,
778,zginąć,VERB,zginąć,zginąć,"to be lost, to go missing",Gdzieś <b>zginął</b> mi portfel z dokumentami.,My wallet with documents has <b>gone missing</b> somewhere.,
779,dusza,NOUN,dusza,dusza,"soul, spirit","Uważał, że <b>dusza</b> jest ważniejsza niż ciało.",He considered the <b>soul</b> to be more important than the body.,
780,ukamieniowanie,NOUN,ukamieniowanie,ukamieniowanie,stoning,W zamierzchłych czasach <b>ukamieniowanie</b> było formą egzekucji.,"In ancient times, <b>stoning</b> was a form of execution.",
781,samobójstwo,NOUN,samobójstwo,samobójstwo,suicide,"To nie był wypadek, lecz <b>samobójstwo</b>.","It wasn't an accident, but a <b>suicide</b>.",
782,testament,NOUN,testament,testament,"will, testament",Wujek zmienił swój <b>testament</b> tuż przed śmiercią.,The uncle changed his <b>will</b> just before he died.,
783,grobowiec,NOUN,grobowiec,grobowiec,"tomb, mausoleum",Starożytny <b>grobowiec</b> był wypełniony złotem.,The ancient <b>tomb</b> was filled with gold.,
784,Grób Nieznanego Żołnierza,NOUN,Grób Nieznanego Żołnierza,Grób Nieznanego Żołnierza,Tomb of the Unknown Soldier,Delegacja złożyła kwiaty pod <b>Grobem Nieznanego Żołnierza</b>.,The delegation laid flowers at the <b>Tomb of the Unknown Soldier</b>.,
785,urna,NOUN,urna,urna,urn,Jego prochy zostały złożone w marmurowej <b>urnie</b>.,His ashes were placed in a marble <b>urn</b>.,
786,urna,NOUN,urna,urna,ballot box,"Wszyscy patrzyli, jak polityk wrzuca głos do <b>urny</b>.",Everyone watched as the politician dropped his vote into the <b>ballot box</b>.,
787,ostatnia wola,PHRASE,ostatnia wola,ostatnia wola,last will,Jego <b>ostatnią wolą</b> było zostać pochowanym nad morzem.,His <b>last will</b> was to be buried by the sea.,
788,wieniec,NOUN,wieniec,wieniec,"wreath, garland",Na grobie dziadka złożono piękny <b>wieniec</b> z białych róż.,A beautiful <b>wreath</b> of white roses was laid on the grandfather's grave.,
789,przed zaśnięciem,PHRASE,przed zaśnięciem,przed zaśnięciem,"before falling asleep, at bedtime",Dzieciom często czyta się bajki <b>przed zaśnięciem</b>.,Fairy tales are often read to children <b>before falling asleep</b>.,
790,spać,VERB,spać,spać,to sleep,"Muszę <b>spać</b> przynajmniej osiem godzin, aby wypocząć.",I need to <b>sleep</b> at least eight hours to be rested.,
791,ułożyć się do spania,PHRASE,ułożyć się do spania,ułożyć się do spania,"to settle down for sleep, to go to bed","Było już późno, więc postanowił <b>ułożyć się do spania</b>.","It was already late, so he decided to <b>settle down for sleep</b>.",
792,drzemać,VERB,drzemać,drzemać,"to doze, to snooze",Dziadek lubi <b>drzemać</b> w fotelu po południu.,Grandfather likes to <b>doze</b> in the armchair in the afternoon.,
793,zdrzemnąć się,VERB,zdrzemnąć się,zdrzemnąć się,"to take a nap, to doze off",Chciałbym <b>zdrzemnąć się</b> na chwilę po pracy.,I would like to <b>take a nap</b> for a moment after work.,
794,senny,ADJ,senny,senny,"sleepy, drowsy",Po obfitym posiłku często robię się <b>senny</b>.,I often get <b>sleepy</b> after a heavy meal.,
795,śpiący,ADJ,śpiący,śpiący,"sleepy, tired","Jestem tak <b>śpiący</b>, że ledwo widzę na oczy.",I am so <b>sleepy</b> that I can hardly see.,
796,zatyczki do uszu,NOUN,zatyczki do uszu,zatyczki do uszu,earplugs,"Zawsze używam <b>zatyczek do uszu</b>, gdy śpię w samolocie.",I always use <b>earplugs</b> when I sleep on a plane.,
797,położyć się wcześniej spać,PHRASE,położyć się wcześniej spać,położyć się wcześniej spać,"have an early night, go to bed early",Muszę <b>położyć się wcześniej spać</b> przed jutrzejszą podróżą.,I need to <b>have an early night</b> before tomorrow's journey.,
798,uciąć sobie drzemkę,PHRASE,uciąć sobie drzemkę,uciąć sobie drzemkę,"have a nap, take a nap",Po obiedzie lubię <b>uciąć sobie drzemkę</b> na kanapie.,"After lunch, I like to <b>have a nap</b> on the sofa.",
799,bezsenność,NOUN,bezsenność,bezsenność,"insomnia, sleeplessness",Stres w pracy często powoduje <b>bezsenność</b>.,Stress at work often causes <b>insomnia</b>.,
800,pora spać,PHRASE,pora spać,pora spać,"bedtime, time for bed","Jest już późno, dzieci, <b>pora spać</b>!","It's late already, children, it's <b>bedtime</b>!",
801,posłać łóżko,PHRASE,posłać łóżko,posłać łóżko,"make the bed, prepare the bed",Czy mogłabyś <b>posłać łóżko</b> dla gościa w salonie?,Could you <b>make the bed</b> for the guest in the living room?,
802,sen,NOUN,sen,sen,sleep,"Potrzebuję ośmiu godzin <b>snu</b>, aby normalnie funkcjonować.",I need eight hours of <b>sleep</b> to function normally.,
803,sen,NOUN,sen,sen,dream,Miałem dzisiaj bardzo dziwny <b>sen</b> o lataniu.,I had a very strange <b>dream</b> today about flying.,
804,mieć lekki sen,PHRASE,mieć lekki sen,mieć lekki sen,"be a light sleeper, sleep lightly","Budzę się przy każdym hałasie, bo <b>mam lekki sen</b>.",I wake up at every noise because I <b>sleep lightly</b>.,
805,sennie,ADV,sennie,sennie,"sleepily, drowsily","Kot <b>sennie</b> mrużył oczy, leżąc na słońcu.","The cat <b>sleepily</b> squinted its eyes, lying in the sun.",
806,bezsenny,ADJ,bezsenny,bezsenny,"sleepless, wakeful",To była kolejna <b>bezsenna</b> noc pełna przemyśleń.,It was another <b>sleepless</b> night full of thoughts.,
807,lunatyk,NOUN,lunatyk,lunatyk,sleepwalker,Mój brat był <b>lunatykiem</b> i często chodził przez sen.,My brother was a <b>sleepwalker</b> and often walked in his sleep.,
808,śpiący,ADJ,śpiący,śpiący,"sleepy, drowsy",Czuję się bardzo <b>śpiący</b> po tej długiej podróży.,I feel very <b>sleepy</b> after this long trip.,
809,chrapanie,NOUN,chrapanie,chrapanie,"snoring, snore",Twoje głośne <b>chrapanie</b> nie dawało mi spać całą noc.,Your loud <b>snoring</b> kept me awake all night.,
